,name,ecoystem_wealth,year,NC_growth,locid,Nat_PC,iso_code,AREA,Urban_land,country,Urban_land_national,proportion_sum_urban,PC,Total_population,average_year_edu,Average_income,Human_capital_total,name_encoded,IWI,IWI_per_ha,ecoystem_wealth_per_ha,PC_per_ha,Human_capital_total_per_ha,IWI_per_ha_cap,ecoystem_wealth_per_ha_cap,PC_per_ha_cap,Human_capital_total_per_ha_cap,POLY_AREA
14,Serei Sophoan,1928311.0,2010.0,,116.0,21333311378.6873,KHM,0.000174305595564,2400.0,Cambodia,238245.0,0.010073664,214904600.0,28183.78,3.48,2707.994,661961340.0,Serei Sophoan City Hall,878794240.0,5041687000000.0,11062818000.0,1232918500000.0,3797705600000.0,178886130.0,392524.28,43745680.0,134747920.0,7.7593332416947005
15,Serei Sophoan,2791778.0,2020.0,44.778408,116.0,48130558081.5753,KHM,0.000274095549024,3774.0,Cambodia,485003.0,0.007781395,374522880.0,34008.375,4.398,5181.806,1642026500.0,Serei Sophoan City Hall,2019341200.0,7367289000000.0,10185419000.0,1366395300000.0,5990708000000.0,216631620.0,299497.38,40178200.0,176153900.0,11.3854544842
16,Siem Reap,3306151.0,2010.0,,116.0,21333311378.6873,KHM,0.000227977193531,3139.0,Cambodia,238245.0,0.013175513,281077300.0,82237.92,3.459,2224.571,1563753700.0,Siem Reap City Hall,1848137200.0,8106676000000.0,14502113000.0,1232918500000.0,6859255000000.0,98575880.0,176343.38,14992093.0,83407450.0,13.447563485123599
17,Siem Reap,4967346.0,2020.0,50.245586,116.0,48130558081.5753,KHM,0.000380785098976,5243.0,Cambodia,485003.0,0.010810242,520302980.0,185261.1,3.817,3640.647,5940780000.0,Siem Reap City Hall,6466050600.0,16980839000000.0,13045011000.0,1366395300000.0,15601398000000.0,91658960.0,70414.195,7375511.5,84213030.0,20.8072986326
18,Sihanoukville,1576920.0,2010.0,,116.0,21333311378.6873,KHM,0.000104074966018,1433.0,Cambodia,238245.0,0.0060148165,128315950.0,24676.398,4.258,2239.424,535055940.0,Sihanoukville City Hall,664948800.0,6389133000000.0,15151771000.0,1232918500000.0,5141063000000.0,258916750.0,614018.75,49963470.0,208339260.0,5.83684354896129
19,Sihanoukville,3163804.0,2020.0,100.63187,116.0,48130558081.5753,KHM,0.000203211273495,2798.0,Cambodia,485003.0,0.0057690367,277666940.0,42278.63,5.258,3713.381,1638587600.0,Sihanoukville City Hall,1919418400.0,9445432000000.0,15569037000.0,1366395300000.0,8063468000000.0,223409140.0,368248.4,32318818.0,190722080.0,10.3199821381
20,Suong,231200.0,2010.0,,116.0,21333311378.6873,KHM,8.57002511522e-06,118.0,Cambodia,238245.0,0.00049528846,10566143.0,3750.4092,3.52,2183.504,67406670.0,Suong City Hall,78204020.0,9125296000000.0,26977751000.0,1232918500000.0,7865399500000.0,2433146600.0,7193282.0,328742400.0,2097211000.0,0.9494065608499
21,Suong,666262.0,2020.0,188.1756,116.0,48130558081.5753,KHM,4.24143615872e-05,584.0,Cambodia,485003.0,0.0012041163,57954788.0,7764.541,4.129,3646.861,245639420.0,Suong City Hall,304260480.0,7173525000000.0,15708406000.0,1366395300000.0,5791421000000.0,923882700.0,2023095.2,175978900.0,745880640.0,2.63380657924
22,Phnom Penh,58921390.0,2010.0,,116.0,21333311378.6873,KHM,0.005108025478,70332.0,Cambodia,238245.0,0.29520872,6297779700.0,1344280.2,4.794,3063.786,47477154000.0,The 252 Boutique Hotel,53833855000.0,10539074000000.0,11535062000.0,1232918700000.0,9294620000000.0,7839938.0,8580.846,917158.94,6914198.0,208.4015174077143
23,Phnom Penh,103762202.0,2020.0,76.102776,116.0,48130558081.5753,KHM,0.00967475945444,133211.0,Cambodia,485003.0,0.27466017,13219547000.0,2488337.0,5.151,5049.218,145963500000.0,The 252 Boutique Hotel,159286800000.0,16464162000000.0,10725042000.0,1366395500000.0,15087042000000.0,6616532.0,4310.1245,549119.94,6063102.0,383.463642716
24,Krong Ban Lung,21052.0,2010.0,,116.0,21333311378.6873,KHM,1.01678264079e-06,14.0,Cambodia,238245.0,5.876304e-05,1253610.2,530.37244,2.842,1898.096,7573642.5,邦隆市政厅,8848305.0,8702258000000.0,20704524000.0,1232918700000.0,7448634600000.0,16407824000.0,39037708.0,2324628200.0,14044159000.0,0.100585585607
25,Krong Ban Lung,133376.0,2020.0,533.555,116.0,48130558081.5753,KHM,6.7543418281e-06,93.0,Cambodia,485003.0,0.00019175139,9229101.0,4959.6436,3.828,3608.507,148154430.0,邦隆市政厅,157516910.0,23320838000000.0,19746705000.0,1366395300000.0,21934696000000.0,4702120000.0,3981476.8,275502720.0,4422635500.0,0.509157627048
